Name,Gender,Aadhar number,age,anaemia,creatinine_phosphokinase,diabetes,ejection_fraction,high_blood_pressure,platelets,serum_creatinine,serum_sodium,smoking,Pulse Rate,chol,Total_Bilirubin,Direct_Bilirubin,Alkaline_Phosphotase,Alamine_Aminotransferase,Aspartate_Aminotransferase,Total_Protiens,Albumin,Bp,Hemo,Wbcc,Rbcc,Sod,Pot
durgesh,m,902719459577    ,60,1,607,0,40,0,216000,0.6,138,1,10,260,0.9,0.2,175,24,54,5.5,2.7,90,12.53,8406,4.71,132,4.9
farmaan khan,m,508532933765    ,49,0,789,0,20,1,319000,1.1,136,1,10,182,0.8,0.2,367,42,18,5.2,2,80,10.5,7200,4.3,138,5.8
fooljhnah,f,914811458754    ,72,0,364,1,20,1,254000,1.3,136,1,10,303,1.1,0.5,145,20,24,5.5,3.2,100,6.6,8406,4.71,137.53,4.63
gajender singh @ goldy,m,374374646616    ,45,0,7702,1,25,1,390000,1,139,0,10,265,0.8,0.2,158,21,16,6,3,90,12.53,8406,4.71,138,6.6
gulshan,f,840666591542    ,50,0,318,0,40,1,216000,2.3,131,0,10,309,1,0.5,158,37,43,7.2,3.6,80,12.53,8406,4.71,163,39
gulshan,m,267678540723    ,55,0,109,0,35,0,254000,1.1,139,1,12,186,1,0.5,158,37,43,7.2,3.6,60,11,7700,3.8,138,4
gurdeep kaur,f,395320215139    ,45,0,582,0,35,0,385000,1,145,0,12,203,0.7,0.2,208,35,97,5.1,2.1,70,7.5,8406,4.71,131,3.7
gurmit singh,m,229263986073    ,45,0,582,0,80,0,263358.03,1.18,137,0,10,211,1.3,0.4,259,40,86,6.5,2.5,80,9.8,8406,4.71,137.53,4.63
gurmit singh,m,781812816095    ,60,0,68,0,20,0,119000,2.9,127,1,14,183,1.4,0.7,470,62,88,5.6,2.5,90,15,8406,4.71,137.53,4.63
har parsad,m,399353842705    ,42,1,250,1,15,0,213000,1.3,136,0,14,222,2.2,1.2,195,55,95,6,3.7,70,12.53,8406,4.71,131,4.8
hemant,m,415562797011    ,72,1,110,0,25,0,274000,1,140,1,13,234,1.8,0.8,215,53,58,6.4,3.8,80,12.53,8406,4.71,137.53,4.63
hina,f,645573516802    ,70,0,161,0,25,0,244000,1.2,142,0,10,220,0.7,0.2,239,27,26,6.3,3.7,70,10.9,8406,4.71,137.53,4.63
iqra,f,237574269776    ,65,0,113,1,25,0,497000,1.83,135,0,10,209,0.8,0.2,215,24,17,6.3,3,70,15.6,6900,6,137.53,4.63
irfan,m,928096047949    ,41,0,148,0,40,0,374000,0.8,140,1,10,258,0.7,0.2,186,166,397,5.5,3,80,15.2,8300,5.2,137,4.4
isha,f,275168989956    ,58,0,582,1,35,0,122000,0.9,139,1,10,227,0.8,0.2,188,20,29,4.4,1.8,60,9.8,14600,3.2,141,4
isha,f,849214386683    ,85,0,5882,0,35,0,243000,1,132,1,10,204,0.8,0.2,205,27,24,4.4,2,90,10.3,8406,4.71,137.53,4.63
jahoor ahmed meer,m,954062476379    ,65,0,224,1,50,0,149000,1.3,137,1,10,261,0.6,0.1,171,22,16,6.6,3.6,100,4.8,6300,4.71,132,4.4
jamil khan,m,271149268827    ,69,0,582,0,20,0,266000,1.2,134,1,10,213,0.7,0.1,145,20,22,5.8,2.9,90,9.1,6400,3.4,131,4.8
janki,f,826632421855    ,60,1,47,0,20,0,204000,0.7,139,1,12,250,0.7,0.1,162,52,41,5.2,2.5,76,8.1,8406,4.71,138,3.2
jaswant singh,m,376939191994    ,70,0,92,0,60,1,317000,0.8,140,1,12,245,0.9,0.2,518,189,17,5.3,2.3,80,10.3,6200,4,132,5.5
jitender kumar,m,339375959526    ,42,0,102,1,40,0,237000,1.2,140,0,10,221,0.6,0.1,1620,95,127,4.6,2.1,70,11.9,7100,3.7,137,5
jyoti,f,230946361227    ,75,1,203,1,38,1,283000,0.6,131,1,14,205,1.4,0.6,146,12,24,6.2,3.8,80,10.1,8406,4.71,141,3.5
jyoti,f,550779565146    ,55,0,336,0,45,1,324000,0.9,140,0,14,240,2.8,1.3,670,48,79,4.7,1.6,80,13.5,11800,5,137.53,4.63
kabir,m,447082349204    ,70,0,69,0,40,0,293000,1.7,136,0,12,250,2.4,1.1,915,60,142,4.7,1.8,80,10.8,9400,3.8,133,5
kailash kumar,m,992490364133    ,67,0,582,0,50,0,263358.03,1.18,137,1,12,308,1,0.3,75,25,26,5.1,2.9,90,8.3,5500,3.7,128,4.4
kajal,f,262025225653    ,60,1,76,1,25,0,196000,2.5,132,0,10,318,0.7,0.1,148,14,12,5.4,2.8,70,12.53,8406,4.71,140,3.9
kajal,f,491750783888    ,79,1,55,0,50,1,172000,1.8,133,0,14,298,2,1,258,194,152,5.4,3,70,12.53,8406,4.71,134,3.6
kali charan,m,911370341908    ,59,1,280,1,25,1,302000,1,141,0,14,265,0.6,0.1,237,45,31,7.5,4.3,70,7.1,3800,2.1,135,7.6
kalyani patro,f,510724340963    ,51,0,78,0,50,0,406000,0.7,140,0,13,564,1.4,0.5,269,58,45,6.7,3.9,70,9.9,8406,4.71,137.53,4.63
kamni,f,837782316227    ,55,0,47,0,35,1,173000,1.1,137,0,10,277,0.6,0.1,320,28,56,7.2,3.6,80,12.53,8406,4.71,137.53,4.63
kanika kathuria,f,395946843098    ,65,1,68,1,60,1,304000,0.8,140,0,10,197,0.8,0.2,298,33,59,6.2,3.1,100,11.1,5800,5,137.53,4.63
karina @ kavita,f,838183426326    ,44,0,84,1,40,1,235000,0.7,139,0,10,214,0.6,0.2,538,33,34,7.5,3.2,110,12.53,13200,4.7,137.53,4.63
kasid,m,476130549180    ,57,1,115,0,25,1,181000,1.1,144,0,10,248,4,1.9,238,119,350,7.1,3.3,70,12.53,8406,4.71,139,4.7
kausal kumar,m,469971061520    ,70,0,66,1,45,0,249000,0.8,136,1,10,255,5.7,2.8,214,412,850,7.3,3.2,100,13,9800,4.2,143,3.5
kavita,f,549489248518    ,60,0,897,1,45,0,297000,1,133,0,10,207,6.8,3.2,308,404,794,6.8,3,70,16.1,12500,5.6,136,3.8
keshar ansari,m,276956856650    ,42,0,582,0,60,0,263358.03,1.18,137,0,10,223,8.6,4,298,412,850,7.4,3,70,10.4,5600,3.6,133,4.4
khadak singh,m,989444880154    ,60,1,154,0,25,0,210000,1.7,135,0,10,288,5.8,2.7,204,220,400,7,3,100,9.2,7000,3.2,140,2.9
khursid,m,366252690943    ,58,0,144,1,38,1,327000,0.7,142,0,10,160,5.2,2.4,168,126,202,6.8,2.9,70,11.6,11900,3.9,137,4.5
khushboo,f,949797072359    ,58,1,133,0,60,1,219000,1,141,0,10,226,0.9,0.2,282,25,23,4.4,2.2,90,12.53,8406,4.71,131,3.7
khushbu,f,661839130924    ,63,1,514,1,25,1,254000,1.3,134,0,10,394,3.8,1.5,298,102,630,7.1,3.3,80,11.2,8406,4.71,137.53,4.63
kiran devi,f,924649296616    ,70,1,59,0,60,0,255000,1.1,136,0,12,233,6.6,3,215,190,950,4,1.7,60,10,9100,4,132,3.8
koshal,f,378504400405    ,60,1,156,1,25,1,318000,1.2,137,0,12,315,0.6,0.1,265,97,161,5.9,3.1,140,6.2,5800,2.3,135,4.3
kranti,f,326420399000    ,63,1,61,1,40,0,221000,1.1,140,0,10,246,0.7,0.1,312,308,405,6.9,3.7,180,11.2,10400,4.2,139,3.9
kuldeep singh,m,408095391089    ,65,1,305,0,25,0,298000,1.1,141,0,14,244,0.6,0.2,161,27,28,3.7,1.6,70,12.53,8406,4.71,133,3.8
kushal,m,922563319599    ,75,0,582,0,45,1,263358.03,1.18,137,0,14,270,0.7,0.2,243,21,23,5.3,2.3,90,11.3,10700,3.9,139,5.7
lalit rana,m,460599514392    ,80,0,898,0,25,0,149000,1.1,144,1,13,195,0.9,0.2,224,36,45,6.9,4.2,60,13.9,7000,4.71,141,4.2
laxmi  kumari,f,560440042258    ,42,0,5209,0,30,0,226000,1,140,1,10,240,0.8,0.2,225,14,23,6.1,3.3,70,10.2,12700,4.2,137.53,4.63
laxmi devi,f,830465975980    ,60,0,53,0,50,1,286000,2.3,143,0,10,196,0.5,0.1,170,21,28,5.5,2.5,90,12.53,8406,4.71,137.53,4.63
laxmi devi w/o late sh hukan chand,f,573830681027    ,72,1,328,0,30,1,621000,1.7,138,1,10,211,5.3,2.3,145,32,92,5.1,2.6,80,14.1,6800,5.2,139,4
layba noor,f,721039209008    ,55,0,748,0,45,0,263000,1.3,137,0,10,234,5.3,2.3,145,32,92,5.1,2.6,90,6,6500,4.71,127,4.4
leela with a child,f,861896611315    ,45,1,1876,1,35,0,226000,0.9,138,0,10,236,0.8,0.2,158,29,39,6,2.2,100,11.2,13600,4.4,139,4.5
maansingh aswal,m,525539981330    ,63,0,936,0,38,0,304000,1.1,133,1,10,244,0.8,0.2,158,29,39,6,2.2,80,11.8,10200,4.2,141,4.2
manisha,f,881895197122    ,45,0,292,1,35,0,850000,1.3,142,1,10,254,0.9,0.1,486,25,34,5.9,2.8,70,11.7,8406,4.71,137.53,4.63
manju,f,442689609413    ,85,0,129,0,60,0,306000,1.2,132,1,10,325,0.7,0.2,188,11,10,5.5,2.3,90,11.7,11400,4.7,142,3.8
manju,f,338086094418    ,55,0,60,0,35,0,228000,1.2,135,1,10,126,3.2,1.6,257,33,116,5.7,2.2,80,10,9000,3.9,128,5.4
manoj,m,714276408772    ,50,0,369,1,25,0,252000,1.6,136,0,10,313,1.2,0.4,179,63,39,6.1,3.3,60,10.8,8406,4.71,137.53,4.63
manoj yadav @ manoj,m,246654846630    ,70,1,143,0,60,0,351000,1.3,137,0,12,211,0.6,0.1,272,24,98,5,2,90,12.53,9800,4.71,137.53,4.63
mansi,f,500773791321    ,60,1,754,1,40,1,328000,1.2,126,0,12,262,5.8,3,661,181,285,5.7,2.3,60,12.1,10300,4.71,137.53,4.63
mazida,f,420108238138    ,58,1,400,0,40,0,164000,1,139,0,10,215,7.3,3.6,1580,88,64,5.6,2.3,80,12.4,5600,4.3,137.53,4.63
md mustafa,m,508966089992    ,60,1,96,1,60,1,271000,0.7,136,0,14,214,0.7,0.1,1630,74,149,5.3,2,70,12.53,8406,4.71,137.53,4.63
md. afsar,m,605776371586    ,85,1,102,0,60,0,507000,3.2,138,0,14,193,12.7,6.2,194,2000,2946,5.7,3.3,70,12.5,9800,4.4,139,3.7
meena,f,397582136185    ,65,1,113,1,60,1,203000,0.9,140,0,13,204,15.9,7,280,1350,1600,5.6,2.8,70,11.4,8406,4.71,137.53,4.63
meena kumari,f,209250901670    ,86,0,582,0,38,0,263358.03,1.83,134,0,10,243,18,8.2,298,1250,1050,5.4,2.6,70,12.53,8406,4.71,137.53,4.63
meera,f,352245240466    ,60,1,737,0,60,1,210000,1.5,135,1,10,303,23,11.3,300,482,275,7.1,3.5,90,12.6,8406,4.71,137,5.3
midda,m,539481389104    ,66,1,68,1,38,1,162000,1,136,0,10,271,22.7,10.2,290,322,113,6.6,2.8,60,15,8406,4.71,137,3.4
minakchi,f,753931324683    ,60,0,96,1,38,0,228000,0.75,140,0,10,268,1.7,0.8,188,60,84,5.9,3.5,70,6,8406,4.71,130,3.8
mohabbat ali,m,569207160089    ,60,1,582,0,30,1,127000,0.9,145,0,10,267,0.8,0.2,178,17,18,6.3,3.1,80,14,14900,4.71,137.53,4.63
mohan singh,m,823952007592    ,60,0,582,0,40,0,217000,3.7,134,0,10,199,0.6,0.1,177,36,29,6.9,4.1,100,9.1,5500,3.6,137.53,4.63
mohd aakib,m,928797659545    ,43,1,358,0,50,0,237000,1.3,135,0,10,210,1.8,0.5,201,45,25,3.9,1.7,90,12.53,8406,4.71,131,4.3
mohd ataullah,m,975083431083    ,46,0,168,1,17,1,271000,2.1,124,0,10,204,5.8,2.5,802,133,88,6,2.8,90,12,8200,4.5,136,4.6
mohd khairul,m,593794005809    ,58,1,200,1,60,0,300000,0.8,137,0,10,277,3,1.4,248,46,40,6.5,3.2,60,11.4,15200,4.3,136,4.9
mohd shakib,m,451868041831    ,61,0,248,0,30,1,267000,0.7,136,1,10,196,1.7,0.8,1896,61,83,8,3.9,90,8.1,5000,2.9,133,47
monika,f,467184017559    ,53,1,270,1,35,0,227000,3.4,145,0,10,269,2.8,1.7,263,57,65,5.1,2.3,70,11.1,8406,4.71,135,4.7
moti lal,m,716108572764    ,53,1,1808,0,60,1,249000,0.7,138,1,10,201,3.2,1.4,512,50,58,6,2.7,90,8.2,16300,2.7,134,4.8
mukul yadav,m,626841685476    ,60,1,1082,1,45,0,250000,6.1,131,0,12,271,0.7,0.2,237,18,28,5.8,2.5,50,11.8,12400,4.71,137.53,4.63
nagina,f,931393411655    ,46,0,719,0,40,1,263358.03,1.18,137,0,12,295,0.8,0.2,199,34,31,6.5,3.5,76,8.6,13200,2.7,136,4.5
nagma khatoon,f,215329113035    ,63,0,193,0,60,1,295000,1.3,145,1,10,235,0.9,0.4,238,17,14,6.6,2.9,100,12,8400,8,136,4.9
nahar singh,m,444034159549    ,81,0,4540,0,35,0,231000,1.18,137,1,14,306,1.8,0.7,178,35,36,6.8,3.6,100,10.8,10200,3.8,138,5.2
nausad,m,446797849251    ,75,0,582,0,40,0,263358.03,1.18,137,0,14,269,11.3,5.6,1110,1250,4929,7,2.4,80,13.2,8406,4.71,140,4
naziya siddiqui,f,296689807667    ,65,1,59,1,60,0,172000,0.9,137,0,12,178,4.7,2.2,310,62,90,6.4,2.5,90,9.3,8406,4.71,146,6.3
neeraj kumar,m,252602696739    ,68,1,646,0,25,0,305000,2.1,130,0,12,208,0.8,0.2,282,72,140,5.5,2.5,60,10,9200,4.71,134,5.1
neetu,f,225615694408    ,62,0,281,1,35,0,221000,1,136,0,10,201,0.8,0.2,282,72,140,5.5,2.5,76,12.53,8406,4.71,142,3.5
neha,f,528287262437    ,50,0,1548,0,30,1,211000,0.8,138,0,14,263,0.8,0.2,380,25,66,6.1,3.7,70,11.1,8406,4.71,132,4.1
neha,f,506133079821    ,80,0,805,0,38,0,263358.03,1.1,134,0,14,295,0.6,0.1,186,20,21,6.2,3.3,70,12.53,8406,4.71,142,5.6
neha,f,413566999388    ,46,1,291,0,35,0,348000,0.9,140,0,13,303,4.2,2.1,159,15,30,7.1,2.2,70,6.1,6500,4.71,137,4.9
nikita senger,f,652020331106    ,50,0,482,1,30,0,329000,0.9,132,0,10,209,1.6,0.4,332,84,139,5.6,2.7,90,12.53,8406,4.71,135,5.3
nitin,m,414752441752    ,61,1,84,0,40,1,229000,0.9,141,0,10,223,1.6,0.4,332,84,139,5.6,2.7,80,12.53,8406,4.71,135,4.7
nitu kumari,f,859124472350    ,72,1,943,0,25,1,338000,1.7,139,1,10,197,3.5,1.5,189,63,87,5.6,2.9,90,11.1,10500,4.1,136,5.2
palak @ simran,f,421090966807    ,50,0,185,0,30,0,266000,0.7,141,1,10,245,0.8,0.2,201,18,22,5.4,2.9,90,8,4200,3.3,126,4.8
pankaj kumar,m,290863660454    ,52,0,132,0,30,0,218000,0.7,136,1,10,242,2.9,1.3,168,21,38,5.5,1.8,100,12.53,8406,4.71,139,4
parveen,f,968103283049    ,64,0,1610,0,60,0,242000,1,137,0,10,240,0.7,0.1,392,20,30,5.3,2.8,60,7.9,15200,3,130,3
parvesh,m,221646302271    ,75,1,582,0,30,0,225000,1.83,134,0,10,226,0.9,0.2,202,20,26,7.2,4.5,60,12.53,8406,4.71,137.53,4.63
pawan,m,978616908958    ,60,0,2261,0,35,1,228000,0.9,136,0,10,180,0.8,0.2,286,21,27,7.1,4,70,10.5,8406,4.71,137.53,4.63
payal goyala,f,821624014221    ,72,0,233,0,45,1,235000,2.5,135,0,10,228,1.1,0.5,180,30,42,6.9,3.8,60,12.3,6700,4.71,137.53,4.63
pinki,f,696253359710    ,62,0,30,1,60,1,244000,0.9,139,0,10,149,1.6,0.8,218,18,20,5.9,2.9,90,9.6,8406,4.71,141,5.5
pinki,f,392750396405    ,50,0,115,0,45,1,184000,0.9,134,1,10,227,0.8,0.2,182,20,40,6,2.9,70,10.9,8406,4.71,133,3.5
pintu thakur,m,252794809464    ,50,0,1846,1,35,0,263358.03,1.18,137,1,12,278,0.6,0.1,178,26,27,6.5,3.6,90,8.3,14600,2.9,132,3.4
pooja,f,579276783794    ,65,1,335,0,35,1,235000,0.8,136,0,12,220,5.9,2.5,290,45,233,5.6,2.7,90,8.4,8406,3,140,4.2
pooja,f,775343114752    ,60,1,231,1,25,0,194000,1.7,140,0,10,197,8.7,4,298,58,138,5.8,2.4,70,11.1,4700,4.71,137.53,4.63
pooja,f,757011742698    ,52,1,58,0,35,0,277000,1.4,136,0,14,253,0.9,0.3,462,70,82,6.2,3.1,90,12.53,8406,4.71,137.53,4.63
pooja,f,795198603097    ,50,0,250,0,25,0,262000,1,136,1,14,192,0.7,0.1,196,20,35,5.8,2,70,12.6,7900,3.9,136,4.7
pooja,f,963045308139    ,85,1,910,0,50,0,235000,1.3,134,0,13,220,0.7,0.1,196,20,35,5.8,2,60,10.9,8406,4.71,132,4
pooja,f,639415052077    ,59,1,129,0,45,1,362000,1.1,139,1,10,221,1.2,0.4,282,36,32,7.2,3.9,80,10.4,10900,4.3,122,3.5
pooja,f,650391379208    ,66,1,72,0,40,1,242000,1.2,134,0,10,240,11,4.9,750,140,350,5.5,2.1,60,10.9,9400,2.4,147,4.2
pooja,f,803702818444    ,45,1,130,0,35,0,174000,0.8,139,1,10,342,11.5,5,1050,99,187,6.2,2.8,76,14.3,10200,4.8,137.53,4.63
pooja,f,998903053500    ,63,1,582,0,40,0,448000,0.9,137,1,10,157,5.8,2.7,599,43,66,5.4,1.8,70,9.8,6000,4.71,124,4.1
pooja jayshwal,f,545156032211    ,50,1,2334,1,35,0,75000,0.9,142,0,10,175,1.9,0.9,180,42,62,7.4,4.3,80,9,8100,3.2,140,4.1
pooja kashyap,f,250683069931    ,45,0,2442,1,30,0,334000,1.1,139,0,10,175,1.9,0.9,180,42,62,7.4,4.3,76,14.3,9500,5.4,137,4.2
pooja prajapati @ pratibha,f,590100670818    ,80,0,776,1,38,1,192000,1.3,135,0,10,286,4.5,2.3,282,13,74,7,2.4,80,12.53,8406,4.71,137.53,4.63
